Address(String)	Elevator(Numerical)	AddedToSite(Date)	AmenitiesCommunity(Numerical)	Appliances(Numerical)	Beds(Numerical)	BedsOnMain(Numerical)	BedsOnUpper(Numerical)	Baths(Numerical)	Basement(Numerical)	Brokeredby(String)	Builder(String)	StoriesNum(Numerical)	CondoCoop(String)	CondoCoopFee(Numerical)	Garage(Numerical)	ElectCooling(Categorical)	CentralAC(Categorical)	ParkingInPrice(Categorical)	HOAFee(Numerical)	HouseSize(Numerical)	Lastrefreshed(Numerical)	ListingAgent(String)	LotSize(Numerical)	MLSID(Categorical)	PoolSpa(Categorical)	PostalCode(Categorical)	PriceSqFt(Numerical)	PropertyStatus(Categorical)	PropertyType(Categorical)	Status(Categorical)	Style(String)	YearBuilt(Numerical)	Price(Numerical)
"13518 Cedar Creek Ln, Silver Spring, MD 20904"	None	12/20/2013	None	10	3	0	3	2.5	None	Re/Max Town Center	None	None	None	None	2	1	1	1	133	3158	7	Maria Mcgrath	14810.4	8242590	None	20904	136	None	1	1	Colonial	1987	429000
"930 Wayne Ave Apt 510, Silver Spring, MD 20910"	1	8/5/2014	4	6	2	2	0	None	None	Maryland Pro Realty	None	None	Crescent Condominium	514	1	1	1	None	None	1227	21	Christine Lee	None	8423277	None	20910	350	None	2	1	Contemporary	2006	429000
"9617 Brunett Ave, Silver Spring, MD 20901"	None	9/29/2014	None	8	3	0	3	1.5	None	LONG and FOSTER - Friendship Heights/Chevy Chase	None	None	None	None	None	1	1	1	None	1080	2	Todd Harris	9932	8468557	None	20901	397	None	1	3	None	1951	429000
"11003 Easecrest Dr, Silver Spring, MD 20902"	None	7/27/2014	None	12	4	None	None	None	None	RE/MAX Excellence Realty	None	None	None	None	None	1	1	None	None	2148	6	Kay Baer	9060	8416141	None	20902	200	None	1	None	None	1957	429900
"1000 Playford Ln, Silver Spring, MD 20901"	None	10/1/2014	None	None	4	None	None	None	None	Redfin Corp	None	None	None	None	None	1	1	None	None	1084	3	September Lundeen	7884	8469983	None	20901	397	None	1	1	None	1958	429900
"930 Wayne Ave Apt 709, Silver Spring, MD 20910"	None	7/16/2014	3	8	2	2	0	None	None	Realty Pros	None	None	Crescent Codm	576	1	1	1	1	None	1271	7	DEREK DAUGHERTY	None	8406491	None	20910	338	None	2	1	Contemporary	2006	429900
"113 Normandy Dr, Silver Spring, MD 20901"	None	8/23/2014	None	None	3	0	3	1.5	None	Jobin Realty	None	None	None	None	1	1	1	1	None	1404	1	Elizabeth Lee	5489	8439164	None	20901	306	None	1	1	Colonial	1940	429900
"10110 Renfrew Rd, Silver Spring, MD 20901"	None	9/25/2014	None	8	6	None	None	None	None	Realty Connection	None	None	None	None	None	1	1	None	None	1696	1	Carlos Rodriguez	5401	8465904	None	20901	253	None	1	None	None	1959	429900
"1506 Sanford Rd, Silver Spring, MD 20902"	None	9/10/2014	None	7	3	2	1	None	None	RE/MAX Excellence Realty	None	None	None	None	1	1	1	None	None	1082	7	JUDY HANRAHAN	6360	8452596	None	20902	397	None	1	1	None	1951	429900
"11601 Mapleview Dr, Silver Spring, MD 20902"	None	7/17/2014	None	None	4	1	3	None	None	Realty Pros	None	None	None	None	None	1	1	1	None	1152	3	Warren Duplinsky	8015	8406919	None	20902	373	None	4	1	None	1951	429900
